192.168.nate.com|0:00:00|99:59:59
192.168.nate.com|0:00:05|99:59:54
192.168.nate.com|0:00:10|99:59:49
192.168.nate.com|2022-07-14 16:23:07.543338|0:00:00|99:59:59
192.168.nate.com|2022-07-14 16:23:07.543338|0:00:05|99:59:54
192.168.nate.com|2022-07-14 16:23:07.543338|0:00:10|99:59:49
192.168.nate.com|2022-07-14 16:23:07.543338|0:00:15|99:59:44
192.168.nate.com|2022-07-14 16:24:34.486376|0:00:00|99:59:59
192.168.nate.com|2022-07-14 16:24:34.486376|0:00:05|99:59:54
192.168.nate.com|2022-07-14 16:32:02.321325|0:00:00|99:59:59
192.168.nate.com|2022-07-14 16:32:02.321325|0:00:05|99:59:54
192.168.nate.com|2022-07-14 16:32:02.321325|0:00:10|99:59:49
192.168.nate.com|2022-07-14 16:32:02.321325|0:00:15|99:59:44
192.168.nate.com|2022-07-14 16:38:59.972463|0:00:00|99:59:59
192.168.nate.com|2022-07-14 16:38:59.972463|0:00:05|99:59:54
192.168.nate.com|2022-07-14 17:05:37.797433|0:00:00|99:59:59
192.168.nate.com|2022-07-14 17:05:37.797433|0:00:05|99:59:54
192.168.nate.com|2022-07-14 17:05:37.797433|0:00:10|99:59:49
192.168.nate.com|2022-07-14 17:05:37.797433|0:00:15|99:59:44
192.168.nate.com|2022-07-14 17:05:37.797433|0:00:20|99:59:39
192.168.nate.com|2022-07-14 17:05:37.797433|0:00:25|99:59:34
192.168.nate.com|2022-07-14 17:05:37.797433|0:00:30|99:59:29
192.168.nate.com|2022-07-14 17:05:37.797433|0:00:35|99:59:24
192.168.nate.com|2022-07-14 17:05:37.797433|0:00:40|99:59:19
192.168.nate.com|2022-07-14 17:05:37.797433|0:00:45|99:59:14
192.168.nate.com|2022-07-14 17:05:37.797433|0:00:50|99:59:09
192.168.nate.com|2022-07-14 17:05:37.797433|0:00:55|99:59:04
192.168.nate.com|2022-07-14 17:05:37.797433|0:01:00|99:58:59
192.168.nate.com|2022-07-14 17:05:37.797433|0:01:05|99:58:54
192.168.nate.com|2022-07-14 17:05:37.797433|0:01:10|99:58:49
192.168.nate.com|2022-07-14 17:05:37.797433|0:01:15|99:58:44
192.168.nate.com|2022-07-14 17:05:37.797433|0:01:20|99:58:39
192.168.nate.com|2022-07-14 17:05:37.797433|0:01:25|99:58:34
192.168.nate.com|2022-07-14 17:05:37.797433|0:01:30|99:58:29
192.168.nate.com|2022-07-14 17:05:37.797433|0:01:35|99:58:24
192.168.nate.com|2022-07-14 17:05:37.797433|0:01:40|99:58:19
192.168.nate.com|2022-07-14 17:05:37.797433|0:01:45|99:58:14
192.168.nate.com|2022-07-14 17:05:37.797433|0:01:50|99:58:09
192.168.nate.com|2022-07-14 17:05:37.797433|0:01:55|99:58:04
192.168.nate.com|2022-07-14 17:05:37.797433|0:02:00|99:57:59
192.168.nate.com|2022-07-14 17:05:37.797433|0:02:05|99:57:54
192.168.nate.com|2022-07-14 17:05:37.797433|0:02:10|99:57:49
192.168.nate.com|2022-07-14 17:05:37.797433|0:02:15|99:57:44
192.168.nate.com|2022-07-14 17:05:37.797433|0:02:20|99:57:39
192.168.nate.com|2022-07-14 17:05:37.797433|0:02:25|99:57:34
192.168.nate.com|2022-07-14 17:05:37.797433|0:02:30|99:57:29
192.168.nate.com|2022-07-14 17:05:37.797433|0:02:35|99:57:24
192.168.nate.com|2022-07-14 17:05:37.797433|0:02:40|99:57:19
192.168.nate.com|2022-07-14 17:05:37.797433|0:02:45|99:57:14
192.168.nate.com|2022-07-14 17:05:37.797433|0:02:50|99:57:09
192.168.nate.com|2022-07-14 17:05:37.797433|0:02:55|99:57:04
192.168.nate.com|2022-07-14 17:05:37.797433|0:03:00|99:56:59
192.168.nate.com|2022-07-14 17:05:37.797433|0:03:05|99:56:54
192.168.nate.com|2022-07-14 17:05:37.797433|0:03:10|99:56:49
192.168.nate.com|2022-07-14 17:05:37.797433|0:03:15|99:56:44
192.168.nate.com|2022-07-14 17:05:37.797433|0:03:20|99:56:39
192.168.nate.com|2022-07-14 17:05:37.797433|0:03:25|99:56:34
